"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12389","Submit order","","2025-12-10","passed","2025-12-10","","End to End ecommerce test","",""
"","6533","My Second Test case","","2025-12-10","passed","2025-12-10","","My Second Test Suite","",""
"","9875","My FirstTest case","","2025-12-10","passed","2025-12-10","","My First Test Suite","",""
"","2681","Demo example","","2025-12-10","passed","2025-12-10","","Frames Test","",""
"","12483","Should handle child window","","2025-12-10","passed","2025-12-10","","Handling Child Windows","",""
"","3542","My Sixth Test case","","2025-12-10","passed","2025-12-10","","My Sixth Test Suite","",""
"","7722","Verify date selection","","2025-12-10","passed","2025-12-10","","Calendar test","",""
"","3935","My Fourth Test case","","2025-12-10","passed","2025-12-10","","My Fourth Test Suite","",""
"","2674","My Seventh Test case","","2025-12-10","passed","2025-12-10","","My Seventh Test Suite","",""
"","7653","My Eighth Test case","","2025-12-10","passed","2025-12-10","","My Eighth Test Suite","",""
"","6408","My Third Test case","","2025-12-10","passed","2025-12-10","","My Third Test Suite","",""
